,id,avg_likes_per_orig_tweet,avg_retweets_per_orig_tweet,following_count,followers_count,female_pct_follower,female_pct_friend,twitter,gender,asstprof,assocprof,prof,academic,yrs_on_twitter,origtweets_year,new_following_year,followers_year,orig_likes_year,orig_rt_year,follower_to_following_ratio
133,133,6.26519337,4.007246377,144,639,0.371329879,0.216783217,1,male,1,0,0,1,2.8333333,69.52941,50.82353,225.52942,435.6152,278.6215,4.4375
134,134,4.053333333,2.380952381,1123,1055,0.550526316,0.590284143,1,male,0,0,0,,10.166667,99.04918,110.459015,103.77049,401.47934,235.83138,0.9394479
135,135,1.577205882,1.563106796,566,448,0.398126464,0.303030303,1,male,0,0,0,,8.416667,129.02971,67.24753,53.227722,203.50641,201.68721,0.79151946
136,136,2.261538462,1.426470588,220,144,0.436507937,0.460784314,1,female,1,0,0,1,5.3333335,73.6875,41.25,27,166.64711,105.11305,0.6545454
137,137,0,0,20,7,0.857142857,0.578947368,1,female,1,0,0,1,5.3333335,0.1875,3.75,1.3125,0,0,0.35
138,138,3,1,14,59,0.290909091,0.214285714,1,male,0,0,1,1,1.6666666,0.6,8.4,35.4,1.8000001,0.6,4.214286
139,139,5.294117647,2.090909091,168,274,0.341085271,0.3125,1,male,0,0,0,,4.5833335,4.3636365,36.654545,59.78182,23.101604,9.123967,1.6309524
140,140,4.338797814,3.04,753,2350,0.247992442,0.305177112,1,female,0,0,0,,7.5833335,127.12088,99.2967,309.8901,551.5518,386.44748,3.1208498
141,141,4.679886686,3.615767635,1855,15352,0.487301587,0.495071194,1,female,0,1,0,1,10.166667,291.541,182.45901,1510.0328,1364.3788,1054.1444,8.2760105
142,142,3.099746407,2.133928571,1274,3225,0.355185571,0.365653246,1,male,0,0,1,1,10.166667,202.62296,125.31148,317.2131,628.0798,432.3829,2.531397
143,143,4.590062112,2.130434783,218,1392,0.584518167,0.641860465,1,female,0,1,0,1,8.333333,113.4,26.16,167.04,520.51306,241.59131,6.385321
144,144,4.333333333,1.333333333,73,46,0.644444444,0.621621622,1,female,1,0,0,1,1.5,4.6666665,48.666668,30.666666,20.222221,6.222222,0.63013697
145,145,1.632432432,1.803108808,557,807,0.603773585,0.486136784,1,male,0,0,0,,10.083333,245.6529,55.23967,80.03306,401.01175,442.9389,1.448833
146,146,2.05,2.222222222,40,179,0.361445783,0.526315789,1,male,1,0,0,1,4.9166665,7.5254235,8.135593,36.40678,15.427118,16.723164,4.475
147,147,1.659574468,1.138888889,2068,1960,0.499279539,0.489632107,1,male,0,0,0,,5.0833335,89.31148,406.81967,385.57376,148.21906,101.71585,0.9477756
148,148,0,0,66,58,0.34,0.265625,1,male,0,1,0,1,1.8333334,0.54545456,36,31.636364,0,0,0.8787879
149,149,2.62,2.595238095,465,615,0.715771231,0.662309368,1,female,0,0,1,1,8.25,29.69697,56.363636,74.545456,77.80606,77.07071,1.3225807
150,150,1.4,1.75,142,48,0.613636364,0.440298507,1,male,0,0,1,1,5.25,12.571428,27.047619,9.142858,17.6,22,0.33802816
151,151,2.5,1.571428571,186,91,0.689655172,0.626373626,1,female,1,0,0,1,5.0833335,4.9180326,36.590164,17.90164,12.295082,7.728337,0.48924732
152,152,5.107178969,3.065346535,2127,1684,0.580124224,0.681602914,1,female,0,1,0,1,2,681,1063.5,842,3477.9888,2087.501,0.79172546
153,153,9.370619946,4.746815287,1435,14445,0.411338318,0.426406926,1,female,0,0,1,1,9.666667,82.344826,148.44827,1494.3103,771.6221,390.87567,10.066202
154,154,5.75,3.708154506,207,732,0.691868759,0.745098039,1,male,0,0,1,1,6.75,56.592594,30.666666,108.44444,325.4074,209.85408,3.536232
155,155,2,0,25,18,0.666666667,0.652173913,1,female,0,0,0,,1.5,0.6666667,16.666666,12,1.3333334,0,0.72
156,156,10.6024,6.904624277,5197,29310,0.473398438,0.432862542,1,female,0,0,1,1,10,144.3,519.7,2931,1529.9264,996.3373,5.639792
157,157,2.233333333,2.295454545,485,330,0.459546926,0.397894737,1,female,0,0,0,,9.583333,44.452175,50.608696,34.434784,99.27653,102.03795,0.68041235
158,158,3.681898067,2.642857143,828,2656,0.447942905,0.404645477,1,female,0,0,0,,8.666667,153.34616,95.53846,306.46155,564.6049,405.272,3.2077296
159,159,1.854209446,1.330434783,1290,612,0.562068966,0.56884343,1,female,1,0,0,1,9.916667,110.420166,130.08403,61.714287,204.74211,146.90683,0.4744186
160,160,6.129056047,5.429421769,997,3232,0.395372233,0.268052516,1,male,0,1,0,1,7.8333335,219.06383,127.276596,412.59573,1342.6544,1189.3899,3.2417252
161,161,2.6,2,199,16,0.1875,0.405940594,1,male,1,0,0,1,4.5,2.2222223,44.22222,3.5555556,5.777778,4.4444447,0.08040201
162,162,6.37609075,6.049019608,450,2895,0.454442344,0.397727273,1,male,0,1,0,1,5.25,269.90475,85.71429,551.4286,1720.9373,1632.6592,6.4333334
163,163,3.339393939,2.207207207,300,1761,0.396464646,0.369127517,1,female,0,0,1,1,5.25,98.47619,57.142857,335.42856,328.8508,217.35736,5.87
164,164,2.775,2.183673469,517,593,0.476785714,0.411650485,1,female,1,0,0,1,5,86,103.4,118.6,238.65,187.79591,1.147002
165,165,7.028673835,3.37628866,811,908,0.569605568,0.515228426,1,female,0,1,0,1,6,53.333332,135.16667,151.33333,374.8626,180.06873,1.1196054
166,166,1.733333333,1.666666667,52,120,0.432432432,0.588235294,1,female,0,0,1,1,5.25,4,9.904762,22.857143,6.9333334,6.6666665,2.3076923
